01|腹部超音波及電腦斷層發現
1|腹部超音波發現
10|，疑為發炎反應。
10m|，疑為輕微發炎反應。
101|脂肪肝
102|肝水泡
105|膽囊息肉
106|膽囊結石
107|腎水泡
108|腎結石
12|，疑為腸道生理性變化。
125|血液癌症腫瘤篩檢發現CA125:    U/ml較高(正常小於35U/ml)
125m|血液癌症腫瘤篩檢發現CA125:    U/ml稍高(正常小於35U/ml)，宜一個月後月經過後一週抽血覆驗。
13|，疑為退化性變化。
14|，疑為生理性吸收。
15|，疑為反應性增生。
153|血液癌症腫瘤篩檢發現CA153:    U/ml較高(正常小於31.3U/ml)
16|，應為受傷後之變化。
17|，疑為創傷後之變化。
18|，建議平日多喝水及追蹤。
19|，疑為手術後之變化。
199|血液癌症腫瘤篩檢發現CA19-9:    U/ml較高(正常小於35 U/ml)
2|正子斷層掃描發現
20|脂肪肝，宜少吃油膩性食物，多運動。
201|側鼻咽部局部輕微葡萄糖攝取增加
202|兩側鼻咽部及頸部淋巴結葡萄糖攝取增加
203|，疑為淋巴炎。
204|，疑為非特異性淋巴炎。
205|小淋巴結輕微葡萄糖攝取增加
2-10|側肺門及縱膈腔淋巴結輕微葡萄糖攝取增加，疑為淋巴腺炎。
2-101|兩側肺門淋巴結非特異性輕微葡萄糖攝取增加
2-11|食道遠端輕微葡萄糖攝取增加，應為逆流性食道炎。
23|，疑為牙科病症
24|，疑為肌腱炎
25|，疑為滑囊炎
26|，建議臨床追蹤檢查。
27|，建議一年後追蹤檢查。
28|，建議臨床比對及進一步檢查確認。
29|，建議臨床比對及進一步檢查治療。
3|血液癌症腫瘤篩檢發現
3-01|血液癌症腫瘤篩檢發現AFP:     ng/ml稍高(正常小於9 ng/ml)
3-02|血液癌症腫瘤篩檢發現CEA:     ng/ml稍高(正常小於5ng/ml)
3-03|血液癌症腫瘤篩檢發現19-9:    U/ml稍高(正常小於35 U/ml)
3-04|血液癌症腫瘤篩檢發現PSA:     ng/ml稍高(正常小於4 ng/ml)
3-05|血液癌症腫瘤篩檢發現CA125:    U/ml稍高(正常小於35U/ml)
3-051|血液癌症腫瘤篩檢發現CA125:    U/ml稍高(正常小於35U/ml)，宜一個月後月經過後一週抽血覆驗。
3-06|血液癌症腫瘤篩檢發現CA153:    U/ml稍高(正常小於31.3U/ml)
351|與前次檢查比較，
36|前次檢查發現之
4|電腦斷層發現
5|正子電腦斷層掃描發現
6|葡萄糖攝取增加
60|輕微葡萄糖攝取增加
61|強烈葡萄糖攝取增加
64|廣泛性輕度葡萄糖攝取增加
65|葡萄糖攝取降低
7|淋巴結
9|，為良性病變。
afp|血液癌症腫瘤篩檢發現AFP:     ng/ml稍高(正常小於9 ng/ml)
ad|膽囊腺肌增生
ar|，疑為關節炎。
cys|囊狀纖維化變化
fib|纖維化
aml|血管肌脂瘤
con|為先天性變異
rs|直腸-乙狀結腸
ano|肛門-直腸區
bfc|兩側乳房廣泛性纖維囊狀變化，建議每年定期追蹤乳房超音波檢查。
blo|兩側股骨及肱骨近端骨髓輕微葡萄糖攝取增加，應為貧血相關骨髓增生
bo|，應為輕微關節囊炎。
bph|輕度攝護腺肥大
ca|鑑於惡性腫瘤病史，建議臨床定期追蹤。
cea|血液癌症腫瘤篩檢發現CEA:     ng/ml稍高(正常小於5ng/ml)
col|大腸廣泛性葡萄糖攝取增加
col-1|，疑為腸道之生理性吸收，建議可做大腸鏡檢查(若之前未做過)。
col2|，疑為腸道生理性吸收，若兩年內未做過大腸鏡檢查，建議可以安排。
cor|冠狀動脈鈣化
cx|，建議胸腔科門診追蹤檢查。
cy|電腦斷層發現肝右葉一個       公分水泡，為良性病變。
den|，可能為牙科病症所致，若有不適症狀，建議可至牙科門診追蹤檢查。
derma|，建議皮膚科門診追蹤檢查。
dm|，應為糖尿病相關之腸道生理性變化，但可能干擾小病灶之偵測，如兩年內未做大腸鏡檢查，可安排檢查。
dis|，若有不適症狀
end|，建議內分泌科門診追蹤檢查。
ent|，建議耳鼻喉科門診追蹤檢查。
eso|食道遠端輕微葡萄糖攝取增加，應為逆流性食道炎，建議進一步內視鏡檢查比對。
esog|食道下端靠近與胃交接處輕微葡萄糖攝取增加
fc|側小面關節
fu|，建議定期追蹤檢查。
fue|，建議臨床比對及進一步檢查追蹤。
fx|(陳舊之骨折)
vocal|，疑為發聲相關之生理性吸收。
gas|胃竇部輕微葡萄糖攝取增加
gasa|，應為胃酸逆流所致輕度食道炎反應，建議肝膽腸胃科門診追蹤檢查。
gerd|，疑為逆流性食道炎。
